Boron,X
none,none
0,-1.1503092
0,-1.0065205
0,-0.86273193
0,-0.79083759
0,-0.71894324
0,-0.64704895
0,-0.5751546
0,-0.53757727
0,-0.5
0,-0.5
0,-0.46568298
0,-0.43136597
0,-0.39541879
0,-0.35947162
0,-0.32352448
0,-0.2875773
0,-0.25163013
0,-0.21568298
0,-0.1977094
0,-0.17973581
0,-0.16176224
0,-0.14378865
0,-0.12581506
0,-0.10784149
0,-0.098854698
0,-0.089867905
0,-0.080881119
0,-0.071894325
0,-0.062907532
0,-0.053920746
0,-0.049427349
0,-0.044933952
0,-0.040440559
0,-0.035947163
0,-0.031453766
0,-0.026960373
0,-0.022466976
0,-0.017973581
0,-0.015726883
0,-0.013480186
0,-0.011233488
0,-0.0089867907
0,-0.0067400932
0,-0.0044933953
0,-0.0033700466
0,-0.0022466977
0,-0.0011233488
0,0
3.6077272e+19,0
3.7926341e+19,0.00078960753
3.9775427e+19,0.0015792151
4.1230266e+19,0.0023688227
4.2685154e+19,0.0031584301
4.5282851e+19,0.0047376454
4.7880687e+19,0.0063168602
5.0312443e+19,0.007896075
5.2744386e+19,0.0094752898
5.5037709e+19,0.011054505
5.7331256e+19,0.01263372
6.0100891e+19,0.014672479
6.2870853e+19,0.016711237
6.5433564e+19,0.018749997
6.7996629e+19,0.020788755
6.9176879e+19,0.021808134
7.0357313e+19,0.022827514
7.1537562e+19,0.023846893
7.2717996e+19,0.024866272
7.3801645e+19,0.025885653
7.488548e+19,0.026905032
7.5969129e+19,0.027924411
7.7052964e+19,0.02894379
7.9400541e+19,0.031575818
8.1748566e+19,0.034207843
8.4096143e+19,0.036839869
8.6444168e+19,0.039471895
9.004354e+19,0.044735946
9.3643676e+19,0.050000001
9.6820315e+19,0.056863219
9.9997735e+19,0.063726433
1.0154057e+20,0.070589647
1.03084e+20,0.077452868
1.0153644e+20,0.085614651
9.9989188e+19,0.093776435
9.8441625e+19,0.10193822
9.6894375e+19,0.1101
9.357706e+19,0.11495303
9.0259543e+19,0.11980605
8.6942227e+19,0.12465908
8.362471e+19,0.1295121
7.9409704e+19,0.13436513
7.5194233e+19,0.13921815
7.2937817e+19,0.14164466
7.0681099e+19,0.14407118
6.8424683e+19,0.1464977
6.6167965e+19,0.1489242
6.3469602e+19,0.15180984
6.0770843e+19,0.15469547
5.8110544e+19,0.15758109
5.5449837e+19,0.16046673
5.4163197e+19,0.16190955
5.2876358e+19,0.16335236
5.1589718e+19,0.16479516
5.0302878e+19,0.16623798
4.9077709e+19,0.1676808
