DopingWells,X
none,none
6,-1.1503092
6,-1.0065207
6,-1.0065205
6,-0.93462634
6,-0.93462622
6,-0.86273205
6,-0.86273193
6,-0.86273164
6,-0.79083759
6,-0.75489056
6,-0.75489044
6,-0.71894336
6,-0.71894324
6,-0.68299621
6,-0.68299609
6,-0.64704907
6,-0.64704895
6,-0.62907541
6,-0.62907535
6,-0.61110181
6,-0.61110175
6,-0.59312826
6,-0.5931282
6,-0.58414143
6,-0.58414137
6,-0.57515466
6,-0.5751546
6,-0.56616789
6,-0.56616783
6,-0.56167442
6,-0.557181
6,-0.55493432
6,-0.55268764
6,-0.55044091
6.9999962,-0.55000067
7,-0.55000067
7,-0.54819423
7,-0.54594755
7,-0.54370081
7,-0.54145414
7,-0.53920746
7,-0.53696072
7,-0.53471404
7,-0.53246737
7,-0.53022063
7,-0.52572727
7,-0.52123386
7,-0.51224715
7,-0.51224709
7,-0.50775367
7,-0.50326025
7,-0.50101358
7,-0.4987669
7,-0.49652019
7,-0.49427348
7,-0.49202681
7,-0.4897801
7,-0.48753339
7,-0.48528671
7,-0.48304
7,-0.4807933
7,-0.47854662
7,-0.47629991
7,-0.4740532
7,-0.47180653
7,-0.46955982
7,-0.46731311
7,-0.46506643
7,-0.46281973
7,-0.46057302
7,-0.45832634
7,-0.45607963
7,-0.45383292
7,-0.45158625
7,-0.44933954
7,-0.44709283
7,-0.44484615
7,-0.44259945
7,-0.44035274
7,-0.43810606
7,-0.43585935
7,-0.43361264
7,-0.43136597
7,-0.42911926
7,-0.42687255
7,-0.42462587
7,-0.42237917
7,-0.42013246
7,-0.41788578
7,-0.41563907
7,-0.41339236
7,-0.41114569
7,-0.40889898
7,-0.40665227
7,-0.40440559
7,-0.40215889
7,-0.39991218
7,-0.3976655
7,-0.39541879
7,-0.39317209
7,-0.39092541
7,-0.3886787
7,-0.38643199
7,-0.38418531
7,-0.38193861
7,-0.3796919
7,-0.37744522
7,-0.37519851
7,-0.37295181
7,-0.37070513
7,-0.36845842
7,-0.36621171
7,-0.36396503
7,-0.36171833
7,-0.35947162
7,-0.35722494
7,-0.35497823
7,-0.35048488
7,-0.35048485
7,-0.34599146
7,-0.34599143
7,-0.34149808
7,-0.34149805
7,-0.33251128
7,-0.33251125
7,-0.3235245
7,-0.32352448
7,-0.30555093
7,-0.30555087
7,-0.28757736
7,-0.2875773
