ElectricField,X
none,none
9.5534637,-1.1503092
9.8415237,-1.0065207
9.8415252,-1.0065205
9.4487534,-0.93462634
9.4487533,-0.93462622
8.5620746,-0.86273205
8.5620726,-0.86273193
8.5620724,-0.86273164
7.3724052,-0.79083759
7.6485107,-0.75489056
7.6485084,-0.75489044
7.5232756,-0.71894336
7.5232748,-0.71894324
7.4147594,-0.68299621
7.4147587,-0.68299609
7.4122874,-0.64704907
7.4122873,-0.64704895
7.2832507,-0.62907541
7.28325,-0.62907535
7.2535619,-0.61110181
7.2535617,-0.61110175
7.2540328,-0.59312826
7.2540328,-0.5931282
7.2175669,-0.58414143
7.2175667,-0.58414137
7.2110011,-0.57515466
7.211001,-0.5751546
7.2115236,-0.56616789
7.2115236,-0.56616783
7.2033558,-0.56167442
7.2035249,-0.557181
7.2015747,-0.55493432
7.201361,-0.55268764
7.2015865,-0.55044091
6916.4597,-0.55000067
6916.486,-0.55000067
6916.4853,-0.54819423
6916.4869,-0.54594755
6916.492,-0.54370081
6916.5004,-0.54145414
6916.5151,-0.53920746
6916.5474,-0.53696072
6916.6456,-0.53471404
6917.0279,-0.53246737
6919.8733,-0.53022063
6946.3891,-0.52572727
7113.7136,-0.52123386
7200.6222,-0.51224715
7200.6225,-0.51224709
7236.1175,-0.50775367
7239.9783,-0.50326025
7240.9993,-0.50101358
7241.3507,-0.4987669
7241.5742,-0.49652019
7241.7329,-0.49427348
7241.8572,-0.49202681
7241.9621,-0.4897801
7242.0558,-0.48753339
7242.1429,-0.48528671
7242.226,-0.48304
7242.3068,-0.4807933
7242.3862,-0.47854662
7242.4651,-0.47629991
7242.5438,-0.4740532
7242.6225,-0.47180653
7242.7017,-0.46955982
7242.7814,-0.46731311
7242.8617,-0.46506643
7242.9428,-0.46281973
7243.0247,-0.46057302
7243.1076,-0.45832634
7243.1916,-0.45607963
7243.2767,-0.45383292
7243.363,-0.45158625
7243.4507,-0.44933954
7243.5401,-0.44709283
7243.6315,-0.44484615
7243.7251,-0.44259945
7243.8211,-0.44035274
7243.9196,-0.43810606
7244.0206,-0.43585935
7244.1242,-0.43361264
7244.2304,-0.43136597
7244.3394,-0.42911926
7244.4512,-0.42687255
7244.5659,-0.42462587
7244.6835,-0.42237917
7244.8041,-0.42013246
7244.9278,-0.41788578
7245.0546,-0.41563907
7245.1848,-0.41339236
7245.3182,-0.41114569
7245.4552,-0.40889898
7245.5957,-0.40665227
7245.7399,-0.40440559
7245.8878,-0.40215889
7246.0397,-0.39991218
7246.1957,-0.3976655
7246.3558,-0.39541879
7246.5203,-0.39317209
7246.6893,-0.39092541
7246.863,-0.3886787
7247.0416,-0.38643199
7247.2252,-0.38418531
7247.4141,-0.38193861
7247.6084,-0.3796919
7247.8085,-0.37744522
7248.0146,-0.37519851
7248.2269,-0.37295181
7248.4457,-0.37070513
7248.6713,-0.36845842
7248.904,-0.36621171
7249.1442,-0.36396503
7249.3922,-0.36171833
7249.6484,-0.35947162
7249.9132,-0.35722494
7250.2981,-0.35497823
7250.779,-0.35048488
7250.779,-0.35048485
7251.3985,-0.34599146
7251.3985,-0.34599143
7252.3648,-0.34149808
7252.3649,-0.34149805
7253.5877,-0.33251128
7253.5877,-0.33251125
7256.2498,-0.3235245
7256.2498,-0.32352448
7259.9915,-0.30555093
7259.9916,-0.30555087
7270.8432,-0.28757736
7270.8433,-0.2875773
7293.7739,-0.25163028
7293.774,-0.25163013
7362.1711,-0.21568312
7362.1713,-0.21568298
7545.2059,-0.17973594
7545.2065,-0.17973581
7869.1367,-0.14378878
7869.138,-0.14378865
8599.0544,-0.12581514
8599.0571,-0.12581506
9571.2965,-0.10784156
9571.3,-0.10784149
10842.76,-0.089867972
10842.764,-0.089867905
13108.681,-0.080881156
13108.689,-0.080881119
14883.506,-0.071894363
14883.513,-0.071894325
17542.408,-0.067400947
17542.418,-0.067400932
20071.442,-0.062907547
20071.451,-0.062907532
23670.895,-0.058414157
23670.907,-0.058414139
27471.37,-0.053920764
27471.383,-0.053920746
32434.528,-0.051674053
32434.544,-0.051674046
34615.07,-0.049999975
34615.077,-0.049999967
34615.077,-0.049999967
57167.907,-0.049427353
57167.985,-0.049427349
57168.611,-0.04718066
57168.611,-0.047180653
57172.879,-0.04493396
57172.879,-0.044933952
57174.106,-0.040440578
57174.106,-0.040440559
57175.71,-0.035947181
57175.71,-0.035947163
57180.907,-0.033700474
57180.907,-0.033700466
57182.608,-0.031453773
57182.608,-0.031453766
75810.003,-0.030000346
75810.068,-0.03000034
75810.068,-0.03000034
109946.4,-0.029207073
109946.52,-0.029207069
109947.51,-0.026960382
109947.51,-0.026960373
109950.61,-0.024713684
109950.61,-0.024713675
109959.22,-0.022466986
109959.22,-0.022466976
109961.23,-0.017973598
109961.23,-0.017973581
109969.69,-0.013480203
109969.69,-0.013480186
109979.11,-0.0089868074
109979.11,-0.0089867907
109982.85,-0.0044934126
109982.85,-0.0044933953
109994.89,-0.0022467063
109994.89,-0.0022466977
35439.697,-8.5704386e-9
35439.438,0
35439.438,0
33902.574,0.001579209
33902.568,0.0015792151
29245.509,0.003158424
29245.493,0.0031584301
24665.959,0.0063168481
24665.943,0.0063168602
18987.4,0.0094752777
18987.381,0.0094752898
13514.588,0.012633708
13514.569,0.01263372
9383.1724,0.016711222
9383.1582,0.016711237
5386.9846,0.02078874
5386.971,0.020788755
5566.8814,0.028943758
5566.8823,0.02894379
12449.01,0.039471854
12449.033,0.039471895
33407.639,0.04999996
33407.712,0.050000001
62448.972,0.06372638
62449.078,0.063726433
89454.258,0.077452816
89454.359,0.077452868
96430.175,0.093776375
96430.201,0.093776435
90497.719,0.10193819
90497.697,0.10193822
80545.529,0.11009997
80545.492,0.1101
71009.033,0.11980601
71008.997,0.11980605
58295.846,0.12465906
58295.797,0.12465908
49286.072,0.12951209
49286.038,0.1295121
42463.1,0.13436511
42463.075,0.13436513
35786.049,0.13679162
35786.024,0.13679163
32931.89,0.13921814
32931.879,0.13921815
29460.834,0.14
29460.822,0.14
26842.925,0.14164466
23706.209,0.14407116
23706.198,0.14407118
20253.316,0.14649767
20253.304,0.14649768
16861.514,0.14892419
16861.502,0.1489242
13888.905,0.15180981
13888.895,0.15180983
11117.948,0.15469545
11117.938,0.15469547
8965.0628,0.15758108
8965.0556,0.15758109
7765.0984,0.15999998
7765.0944,0.16
7765.0944,0.16
6148.7289,0.16046673
5302.8503,0.16335234
5302.8475,0.16335236
4026.5277,0.16623797
4026.5235,0.16623798
2995.6372,0.1691236
2995.6338,0.16912362
1795.4726,0.17200923
1795.4686,0.17200924
937.0458,0.17778049
937.04294,0.17778051
119.02553,0.18355176
119.02303,0.18355177
448.37413,0.18932302
448.37606,0.18932304
892.77166,0.19509429
892.77322,0.1950943
1233.1054,0.20195748
1233.1066,0.20195751
1537.1895,0.2088207
1537.1906,0.20882073
1806.4211,0.21568391
1806.4221,0.21568394
2060.187,0.22254711
2060.1879,0.22254714
2308.8972,0.22941034
2308.8982,0.22941037
2557.5758,0.23627354
2557.5767,0.23627357
2807.9096,0.24313676
2807.9105,0.24313679
3063.463,0.24999997
3063.464,0.25
3318.4615,0.25707936
3318.4625,0.25707939
3574.204,0.26415876
3574.205,0.26415879
3823.5465,0.27123818
3823.5475,0.27123821
4180.1172,0.27831757
4180.1185,0.2783176
4495.5154,0.29247633
4495.5166,0.29247639
4909.7523,0.30663514
4909.7538,0.3066352
5165.7101,0.3266587
5165.711,0.32665879
5258.7781,0.34668225
5258.7784,0.34668234
5191.8138,0.36670583
5191.8136,0.36670592
5005.0092,0.37671769
5005.0085,0.37671772
4799.6224,0.38672948
4799.6216,0.38672951
4560.1812,0.40088826
4560.1803,0.40088832
4256.1156,0.41504708
4256.1144,0.41504714
3944.2887,0.42920586
3944.2874,0.42920592
3638.6425,0.44336468
3638.6413,0.44336474
3348.4995,0.45752349
3348.4984,0.45752355
3079.2763,0.47168231
3079.2753,0.47168237
2833.3914,0.48584113
2833.3905,0.48584118
2618.4885,0.49999994
2618.4876,0.5
2424.9855,0.51315784
2424.9848,0.5131579
2257.038,0.52631575
2257.0373,0.52631581
2105.7077,0.53947365
2105.7071,0.53947371
1969.3769,0.55263156
1969.3764,0.55263162
1846.5092,0.56578946
1846.5087,0.56578952
1686.4208,0.57894737
1686.4202,0.57894742
1506.3105,0.60526305
1506.3098,0.60526317
1323.4516,0.64473671
1323.4508,0.64473689
1161.2377,0.68421036
1161.2371,0.68421054
1046.4915,0.72368407
1046.491,0.72368425
962.11731,0.76315773
962.1169,0.7631579
911.52535,0.8223682
911.5251,0.82236844
892.54955,0.88157868
892.5494,0.88157892
898.69201,0.94078922
898.69197,0.94078946
918.2263,0.99999976
918.22633,1
940.8435,1.0624998
940.84355,1.0625
962.86754,1.1249998
962.8676,1.125
980.72005,1.1874998
980.7201,1.1875
992.64013,1.2499998
992.64017,1.25
996.74831,1.3124998
996.74835,1.3125
946.36916,1.3749998
946.36937,1.375
899.73009,1.4999998
899.73006,1.5
842.47943,1.7499995
842.47937,1.75
756.40142,1.9999995
756.40133,2
658.77315,2.2499995
658.77304,2.25
562.01228,2.4999995
562.01217,2.5
473.5504,2.7499995
473.55029,2.75
397.00128,2.9999995
397.00119,3
333.26269,3.2499995
333.26261,3.25
281.5249,3.4999995
281.52483,3.5
240.11587,3.7499995
240.11582,3.75
207.11404,3.9999995
207.11399,4
180.71641,4.2499995
180.71637,4.25
159.40627,4.4999995
159.40624,4.5
141.98907,4.7499995
141.98904,4.75
127.56001,4.9999995
127.55999,5
115.44711,5.2499995
115.44709,5.25
105.15393,5.4999995
105.15391,5.5
96.311859,5.7499995
96.311845,5.75
88.644044,5.9999995
88.644031,6
81.939363,6.2499995
81.939352,6.25
76.034237,6.4999995
76.034227,6.5
70.799943,6.7499995
70.799934,6.75
66.133747,6.9999995
66.133739,7
61.952632,7.2499995
61.952625,7.25
58.188763,7.4999995
58.188756,7.5
54.786173,7.7499995
54.786167,7.75
51.698294,7.9999995
51.698289,8
48.886081,8.25
46.316569,8.5
