ElectrostaticPotential,X
none,none
1.3184927,-1.1503092
1.318472,-1.0065207
1.318472,-1.0065205
1.3184472,-0.93462634
1.3184472,-0.93462622
1.3184133,-0.86273205
1.3184133,-0.86273193
1.3184133,-0.86273164
1.3183766,-0.79083759
1.3183555,-0.75489056
1.3183555,-0.75489044
1.3183329,-0.71894336
1.3183329,-0.71894324
1.3183092,-0.68299621
1.3183092,-0.68299609
1.3182845,-0.64704907
1.3182845,-0.64704895
1.3182719,-0.62907541
1.3182719,-0.62907535
1.3182592,-0.61110181
1.3182592,-0.61110175
1.3182464,-0.59312826
1.3182464,-0.5931282
1.31824,-0.58414143
1.31824,-0.58414137
1.3182335,-0.57515466
1.3182335,-0.5751546
1.3182271,-0.56616789
1.3182271,-0.56616783
1.3182238,-0.56167442
1.3182206,-0.557181
1.318219,-0.55493432
1.3182174,-0.55268764
1.3182157,-0.55044091
1.3182154,-0.55000067
1.3182154,-0.55000067
1.316966,-0.54819423
1.3154121,-0.54594755
1.3138581,-0.54370081
1.3123042,-0.54145414
1.3107503,-0.53920746
1.3091964,-0.53696072
1.3076424,-0.53471404
1.3060884,-0.53246737
1.3045343,-0.53022063
1.3014244,-0.52572727
1.2982917,-0.52123386
1.291835,-0.51224715
1.291835,-0.51224709
1.2885851,-0.50775367
1.2853321,-0.50326025
1.2837053,-0.50101358
1.2820784,-0.4987669
1.2804515,-0.49652019
1.2788245,-0.49427348
1.2771975,-0.49202681
1.2755705,-0.4897801
1.2739434,-0.48753339
1.2723163,-0.48528671
1.2706892,-0.48304
1.2690621,-0.4807933
1.267435,-0.47854662
1.2658078,-0.47629991
1.2641807,-0.4740532
1.2625535,-0.47180653
1.2609263,-0.46955982
1.2592991,-0.46731311
1.2576718,-0.46506643
1.2560446,-0.46281973
1.2544173,-0.46057302
1.25279,-0.45832634
1.2511627,-0.45607963
1.2495354,-0.45383292
1.247908,-0.45158625
1.2462807,-0.44933954
1.2446533,-0.44709283
1.2430259,-0.44484615
1.2413984,-0.44259945
1.239771,-0.44035274
1.2381435,-0.43810606
1.236516,-0.43585935
1.2348885,-0.43361264
1.233261,-0.43136597
1.2316334,-0.42911926
1.2300058,-0.42687255
1.2283782,-0.42462587
1.2267506,-0.42237917
1.2251229,-0.42013246
1.2234953,-0.41788578
1.2218675,-0.41563907
1.2202398,-0.41339236
1.218612,-0.41114569
1.2169842,-0.40889898
1.2153564,-0.40665227
1.2137285,-0.40440559
1.2121006,-0.40215889
1.2104727,-0.39991218
1.2088447,-0.3976655
1.2072167,-0.39541879
1.2055887,-0.39317209
1.2039606,-0.39092541
1.2023325,-0.3886787
1.2007044,-0.38643199
1.1990762,-0.38418531
1.1974479,-0.38193861
1.1958197,-0.3796919
1.1941914,-0.37744522
1.192563,-0.37519851
1.1909346,-0.37295181
1.1893061,-0.37070513
1.1876776,-0.36845842
1.1860491,-0.36621171
1.1844205,-0.36396503
1.1827918,-0.36171833
1.1811631,-0.35947162
1.1795343,-0.35722494
1.1779055,-0.35497823
1.1746476,-0.35048488
1.1746476,-0.35048485
1.1713895,-0.34599146
1.1713895,-0.34599143
1.1681311,-0.34149808
1.1681311,-0.34149805
1.1616134,-0.33251128
1.1616134,-0.33251125
1.1550942,-0.3235245
1.1550942,-0.32352448
1.1420508,-0.30555093
1.1420508,-0.30555087
1.1289977,-0.28757736
