Phosphorus,X
SELECTED,none
0,-1.1503092
0,-0.86273193
0,-0.71894324
0,-0.5751546
0,-0.43136597
0,-0.35947162
0,-0.2875773
0,-0.21568298
0,-0.17973581
0,-0.14378865
0,-0.12581506
0,-0.10784149
0,-0.089867905
0,-0.071894325
0,-0.062907532
0,-0.053920746
0,-0.049999967
1.1004599e+17,-0.049999967
1.127826e+17,-0.049427349
1.4639292e+17,-0.044933952
1.8963021e+17,-0.040440559
2.4499053e+17,-0.035947163
2.7811978e+17,-0.033700466
3.0920895e+17,-0.031453766
2.2948933e+16,-0.03000034
6.8828675e+17,-0.03000034
2.0783546e+17,-0.029207069
1.9585267e+17,-0.026960373
2.130198e+17,-0.024713675
2.3182593e+17,-0.022466976
2.7416945e+17,-0.017973581
3.2358665e+17,-0.013480186
3.8109109e+17,-0.0089867907
4.4777618e+17,-0.0044933953
4.7941207e+17,-0.0022466977
2.2064573e+15,0
1.7534664e+18,0
1.8715305e+18,0.0015792151
1.9845063e+18,0.0031584301
2.1994589e+18,0.0063168602
2.4008372e+18,0.0094752898
2.5866943e+18,0.01263372
2.8018095e+18,0.016711237
2.9892935e+18,0.020788755
3.2919885e+18,0.02894379
3.5979959e+18,0.039471895
3.849377e+18,0.050000001
4.1032536e+18,0.063726433
4.2668646e+18,0.077452868
4.2981993e+18,0.1101
3.8227738e+18,0.1489242
2.8341318e+18,0.1950943
2.180624e+18,0.22254714
1.5645867e+18,0.25
1.0341571e+18,0.2783176
6.4354703e+17,0.3066352
4.4779262e+17,0.32665879
3.0844168e+17,0.34668234
2.1272008e+17,0.36670592
1.4839555e+17,0.38672951
9.3659991e+16,0.41504714
6.2452208e+16,0.44336474
4.385418e+16,0.47168237
3.2122908e+16,0.5
2.471427e+16,0.52631581
1.9037201e+16,0.55263162
1.50244e+16,0.57894742
1.1396356e+16,0.60526317
7.7540853e+15,0.64473689
5.2997256e+15,0.68421054
3.6253249e+15,0.72368425
2.4843473e+15,0.7631579
1.8703461e+15,0.79276317
1.4104148e+15,0.82236844
1.0657047e+15,0.85197371
8.0713754e+14,0.88157892
6.1291569e+14,0.91118419
4.6675039e+14,0.94078946
3.5650122e+14,0.97039473
2.7312816e+14,1
2.069569e+14,1.03125
1.5738508e+14,1.0625
1.2011641e+14,1.09375
9.1985216e+13,1.125
7.0655221e+13,1.15625
5.4392825e+13,1.1875
3.3013734e+13,1.25
2.0321033e+13,1.3125
1.2687926e+13,1.375
8.0398153e+12,1.4375
5.171767e+12,1.5
3.3771266e+12,1.5625
2.2379148e+12,1.625
1.504338e+12,1.6875
1.0252817e+12,1.75
7.0813246e+11,1.8125
4.9536592e+11,1.875
3.5078469e+11,1.9375
2.5131243e+11,2
1.8204747e+11,2.0625
1.332354e+11,2.125
9.839392e+10,2.1875
7.3150113e+10,2.25
4.2125162e+10,2.375
2.4856396e+10,2.5
1.1216631e+10,2.75
1.0085366e+10,3
1.0031862e+10,3.25
1.0030062e+10,3.5
1.0030014e+10,3.75
1.0030012e+10,4
1.0030011e+10,4.25
1.0030011e+10,4.5
1.0030011e+10,4.75
1.003001e+10,5
1.003001e+10,5.25
1.003001e+10,5.5
1.003001e+10,5.75
1.0030009e+10,6
1.0030009e+10,6.25
1.0030009e+10,6.5
1.0030009e+10,6.75
1.0030009e+10,7
1.0030009e+10,7.25
1.0030009e+10,7.5
1.0030009e+10,7.75
1.0030009e+10,8
1.0030009e+10,8.25
1.0030009e+10,8.5
1.0030009e+10,8.75
1.0030009e+10,9
1.0030009e+10,9.25
1.0030009e+10,9.5
1.0030009e+10,9.75
1.0030009e+10,10
1.0030009e+10,10.25
1.0030009e+10,10.5
1.0030009e+10,10.75
1.0030009e+10,11
1.0030009e+10,11.25
1.0030009e+10,11.5
1.0030008e+10,11.75
1.0030008e+10,12
1.0030008e+10,12.25
1.0030008e+10,12.5
1.0030008e+10,12.75
1.0030008e+10,13
1.0030008e+10,13.25
1.0030008e+10,13.5
1.0030008e+10,13.75
1.0030008e+10,14
1.0030008e+10,14.25
1.0030008e+10,14.5
1.0030008e+10,14.75
1.0030008e+10,15
1.0030008e+10,15.25
1.0030008e+10,15.5
1.0030008e+10,15.75
1.0030008e+10,16
1.0030008e+10,16.25
1.0030008e+10,16.5
1.0030008e+10,16.75
1.0030008e+10,17
1.0030008e+10,17.25
1.0030008e+10,17.5
1.0030008e+10,17.75
1.0030008e+10,18
1.0030008e+10,18.25
1.0030008e+10,18.5
1.0030008e+10,18.75
1.0030008e+10,19
1.0030008e+10,19.25
1.0030008e+10,19.5
1.0030008e+10,19.75
1.0030008e+10,20

