SpaceCharge,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
6.5833343e-5,-0.55000067
4.9066643e+9,-0.54819423
1.7811736e+10,-0.54594755
4.5708477e+10,-0.54370081
1.130636e+11,-0.54145414
3.117697e+11,-0.53920746
1.0263472e+12,-0.53696072
4.0159967e+12,-0.53471404
1.7275557e+13,-0.53246737
7.2528961e+13,-0.53022063
7.2639101e+14,-0.52572727
2.0429311e+15,-0.52123386
4.594729e+14,-0.51224715
4.5946689e+14,-0.51224709
9.8564509e+13,-0.50775367
2.2114998e+13,-0.50326025
1.1500713e+13,-0.50101358
6.5244635e+12,-0.4987669
4.0318887e+12,-0.49652019
2.7013545e+12,-0.49427348
1.9423192e+12,-0.49202681
1.4852813e+12,-0.4897801
1.1947288e+12,-0.48753339
1.0004498e+12,-0.48528671
8.6386428e+11,-0.48304
7.6323505e+11,-0.4807933
6.8562448e+11,-0.47854662
6.2327223e+11,-0.47629991
5.7131598e+11,-0.4740532
5.267239e+11,-0.47180653
4.8755107e+11,-0.46955982
4.5254601e+11,-0.46731311
4.2091148e+11,-0.46506643
3.9211214e+11,-0.46281973
3.6584469e+11,-0.46057302
3.4191984e+11,-0.45832634
3.2036869e+11,-0.45607963
3.0144872e+11,-0.45383292
2.8609835e+11,-0.45158625
2.7653537e+11,-0.44933954
2.7589889e+11,-0.44709283
2.8386614e+11,-0.44484615
2.9709954e+11,-0.44259945
3.1337986e+11,-0.44035274
3.3179032e+11,-0.43810606
3.5198052e+11,-0.43585935
3.7383115e+11,-0.43361264
3.9732496e+11,-0.43136597
4.2249671e+11,-0.42911926
4.4941132e+11,-0.42687255
4.7815293e+11,-0.42462587
5.0882137e+11,-0.42237917
5.41528e+11,-0.42013246
5.7639574e+11,-0.41788578
6.1355761e+11,-0.41563907
6.5315752e+11,-0.41339236
6.9534954e+11,-0.41114569
7.4029914e+11,-0.40889898
7.8818281e+11,-0.40665227
8.391894e+11,-0.40440559
