Phosphorus,X
SELECTED,none
0,-1.1500498
0,-1.0250435
0,-0.90003729
0,-0.83753419
0,-0.77503109
0,-0.71252799
0,-0.68127644
0,-0.65002489
0,-0.63439912
0,-0.61877334
0,-0.60314757
0,-0.58752179
0,-0.57970887
0,-0.57189602
0,-0.5640831
0,-0.56017667
0,-0.55627018
0,-0.55236375
0,-0.55041057
0,-0.54999977
9.2722042e+10,-0.54999977
9.2729877e+10,-0.54845732
9.2761892e+10,-0.54650408
9.2818656e+10,-0.5445509
9.300666e+10,-0.54064441
9.3292831e+10,-0.53673798
9.3676337e+10,-0.53283155
9.4736165e+10,-0.52501863
9.6169249e+10,-0.51720577
9.7963923e+10,-0.50939286
1.0266854e+11,-0.49376711
1.0875846e+11,-0.47814134
1.1628988e+11,-0.46251553
1.367697e+11,-0.43126398
1.668779e+11,-0.40001243
2.131642e+11,-0.36876088
2.9060182e+11,-0.33750933
3.5090191e+11,-0.32188356
4.3643163e+11,-0.30625778
5.6351985e+11,-0.29063201
7.5946884e+11,-0.2750062
1.0667208e+12,-0.25938043
1.2753821e+12,-0.25156754
1.5196349e+12,-0.24375467
1.7853136e+12,-0.23594178
2.0455401e+12,-0.22812888
2.2707054e+12,-0.22031599
2.3641972e+12,-0.21640955
2.4443065e+12,-0.21250311
2.5119971e+12,-0.20859666
2.5689695e+12,-0.20469022
2.6172758e+12,-0.20078377
2.6590018e+12,-0.19687733
2.6960587e+12,-0.19297089
2.730074e+12,-0.18906444
2.7623578e+12,-0.185158
2.7939169e+12,-0.18125156
2.825492e+12,-0.17734511
2.857603e+12,-0.17343867
2.8905945e+12,-0.16953222
2.9246749e+12,-0.16562578
2.9599498e+12,-0.16171934
2.9964492e+12,-0.15781289
3.034148e+12,-0.15390645
3.0729824e+12,-0.15000001
3.120939e+12,-0.1453125
3.1702119e+12,-0.140625
3.2206208e+12,-0.1359375
3.2718964e+12,-0.13124999
3.3238491e+12,-0.12656251
3.3762666e+12,-0.121875
3.4289691e+12,-0.1171875
3.4817138e+12,-0.1125
3.5343417e+12,-0.1078125
3.5866825e+12,-0.103125
3.6385972e+12,-0.098437503
3.6899052e+12,-0.09375
3.7405083e+12,-0.089062497
3.790273e+12,-0.084375001
3.8386244e+12,-0.079687499
3.8628001e+12,-0.077343747
3.8869758e+12,-0.075000003
3.9336606e+12,-0.0703125
3.9791693e+12,-0.065624997
4.0234496e+12,-0.060937501
4.0664622e+12,-0.056249999
4.0874831e+12,-0.053906251
4.1081782e+12,-0.051562499
4.1217933e+12,-0.050000001
1.8949627e+11,-0.050000001
1.4912234e+15,-0.049218751
1.7298392e+15,-0.046875
3.4411919e+15,-0.044531249
1.227873e+16,-0.044000175
4.094101e+14,-0.044000175
5.7859495e+15,-0.042187501
6.9906064e+15,-0.039843749
8.3342662e+15,-0.037500001
9.9359541e+15,-0.03515625
1.1996035e+16,-0.032812499
1.1400969e+16,-0.030468751
4.4660336e+14,-0.030000351
1.3379086e+16,-0.030000351
7.5587101e+15,-0.028124999
8.7620848e+15,-0.02578125
9.8850037e+15,-0.0234375
1.2442819e+16,-0.018750001
1.5555669e+16,-0.0140625
1.9317769e+16,-0.0093750004
2.552206e+16,-0.0046875002
3.3228627e+16,-0.0023437501
3.3105317e+13,-5.2775692e-7
3.4899373e+16,-5.2775692e-7
3.7919666e+16,0.00157875
4.1033244e+16,0.0031574999
4.4209099e+16,0.0047362498
4.7417002e+16,0.0063149999
5.062954e+16,0.0078937504
5.3821121e+16,0.0094724996
6.0080271e+16,0.01263
6.7731955e+16,0.0167075
7.4769721e+16,0.020785
8.6974591e+16,0.02894
1.0004522e+17,0.039469998
