eDensity,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
3.3326551e+10,-0.55000067
4.8234921e+10,-0.54819423
7.3370781e+10,-0.54594755
1.1375755e+11,-0.54370081
1.9456564e+11,-0.54145414
3.9805183e+11,-0.53920746
1.0150522e+12,-0.53696072
3.1669771e+12,-0.53471404
1.108938e+13,-0.53246737
3.8484245e+13,-0.53022063
2.7213184e+14,-0.52572727
5.5583009e+14,-0.52123386
6.852863e+13,-0.51224715
6.8526766e+13,-0.51224709
1.1065437e+13,-0.50775367
1.8833093e+12,-0.50326025
8.5496222e+11,-0.50101358
4.239381e+11,-0.4987669
2.2923205e+11,-0.49652019
1.345144e+11,-0.49427348
8.4778489e+10,-0.49202681
5.686733e+10,-0.4897801
4.0149839e+10,-0.48753339
2.9526151e+10,-0.48528671
2.2400704e+10,-0.48304
1.7396463e+10,-0.4807933
1.3741513e+10,-0.47854662
1.098782e+10,-0.47629991
8.8617361e+9,-0.4740532
7.1902252e+9,-0.47180653
5.8585756e+9,-0.46955982
4.7877467e+9,-0.46731311
3.9212971e+9,-0.46506643
3.2172512e+9,-0.46281973
2.6440184e+9,-0.46057302
2.1768847e+9,-0.45832634
1.7970033e+9,-0.45607963
1.4898371e+9,-0.45383292
1.245952e+9,-0.45158625
1.0612732e+9,-0.44933954
9.3313281e+8,-0.44709283
8.4615014e+8,-0.44484615
7.8054284e+8,-0.44259945
7.2567953e+8,-0.44035274
6.7722409e+8,-0.43810606
6.3328043e+8,-0.43585935
5.9288954e+8,-0.43361264
5.5548913e+8,-0.43136597
5.2070727e+8,-0.42911926
4.8827297e+8,-0.42687255
4.5797439e+8,-0.42462587
4.2963652e+8,-0.42237917
4.0310984e+8,-0.42013246
3.7826338e+8,-0.41788578
3.5497986e+8,-0.41563907
3.3315347e+8,-0.41339236
3.1268735e+8,-0.41114569
2.9349274e+8,-0.40889898
2.7548749e+8,-0.40665227
2.5859565e+8,-0.40440559
