hDensity,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
3.3326551e+10,-0.55000067
5.3141586e+10,-0.54819423
9.1182517e+10,-0.54594755
1.5946603e+11,-0.54370081
3.0762924e+11,-0.54145414
7.0982153e+11,-0.53920746
2.0413994e+12,-0.53696072
7.1829739e+12,-0.53471404
2.8364937e+13,-0.53246737
1.1101321e+14,-0.53022063
9.9852284e+14,-0.52572727
2.5987612e+15,-0.52123386
5.2800153e+14,-0.51224715
5.2799365e+14,-0.51224709
1.0962995e+14,-0.50775367
2.3998308e+13,-0.50326025
1.2355675e+13,-0.50101358
6.9484016e+12,-0.4987669
4.2611207e+12,-0.49652019
2.8358689e+12,-0.49427348
2.0270977e+12,-0.49202681
1.5421486e+12,-0.4897801
1.2348786e+12,-0.48753339
1.0299759e+12,-0.48528671
8.8626499e+11,-0.48304
7.8063152e+11,-0.4807933
6.9936599e+11,-0.47854662
6.3426005e+11,-0.47629991
5.8017772e+11,-0.4740532
5.3391413e+11,-0.47180653
4.9340965e+11,-0.46955982
4.5733375e+11,-0.46731311
4.2483278e+11,-0.46506643
3.9532939e+11,-0.46281973
3.6848871e+11,-0.46057302
3.4409673e+11,-0.45832634
3.221657e+11,-0.45607963
3.0293855e+11,-0.45383292
2.873443e+11,-0.45158625
2.7759664e+11,-0.44933954
2.7683203e+11,-0.44709283
2.8471229e+11,-0.44484615
2.9788009e+11,-0.44259945
3.1410554e+11,-0.44035274
3.3246755e+11,-0.43810606
3.526138e+11,-0.43585935
3.7442404e+11,-0.43361264
3.9788045e+11,-0.43136597
4.2301742e+11,-0.42911926
4.4989959e+11,-0.42687255
4.786109e+11,-0.42462587
5.0925101e+11,-0.42237917
5.4193111e+11,-0.42013246
5.7677401e+11,-0.41788578
6.1391259e+11,-0.41563907
6.5349067e+11,-0.41339236
6.9566223e+11,-0.41114569
7.4059263e+11,-0.40889898
7.8845829e+11,-0.40665227
8.39448e+11,-0.40440559
