DonorConcentration,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
9.8969925e+17,-0.55000067
3.2183924e+18,-0.54819423
1.1192927e+19,-0.54594755
3.251635e+19,-0.54370081
8.0555252e+19,-0.54145414
1.7270671e+20,-0.53920746
3.2525699e+20,-0.53696072
5.4508901e+20,-0.53471404
8.2313406e+20,-0.53246737
1.1324582e+21,-0.53022063
1.6847313e+21,-0.52572727
1.9258113e+21,-0.52123386
1.407908e+21,-0.51224715
1.407906e+21,-0.51224709
9.793034e+20,-0.50775367
6.1426834e+20,-0.50326025
4.7092216e+20,-0.50101358
3.5527512e+20,-0.4987669
2.6396024e+20,-0.49652019
1.9351633e+20,-0.49427348
1.402001e+20,-0.49202681
1.0054413e+20,-0.4897801
7.1453001e+19,-0.48753339
5.0389698e+19,-0.48528671
3.5293515e+19,-0.48304
2.4579084e+19,-0.4807933
1.7031649e+19,-0.47854662
1.1753032e+19,-0.47629991
8.0817264e+18,-0.4740532
5.5412505e+18,-0.47180653
3.7904672e+18,-0.46955982
2.5879989e+18,-0.46731311
1.7645773e+18,-0.46506643
1.201856e+18,-0.46281973
8.1811719e+17,-0.46057302
5.5666207e+17,-0.45832634
3.7879314e+17,-0.45607963
2.5777834e+17,-0.45383292
1.7553216e+17,-0.45158625
1.1958824e+17,-0.44933954
8.1555093e+16,-0.44709283
5.5667534e+16,-0.44484615
3.8045588e+16,-0.44259945
2.6033699e+16,-0.44035274
1.7840713e+16,-0.43810606
1.2244285e+16,-0.43585935
8.4172501e+15,-0.43361264
5.7962433e+15,-0.43136597
3.9984438e+15,-0.42911926
2.7634495e+15,-0.42687255
1.9134587e+15,-0.42462587
1.327595e+15,-0.42237917
9.2287542e+14,-0.42013246
6.4291117e+14,-0.41788578
4.4875091e+14,-0.41563907
3.1392851e+14,-0.41339236
2.2004873e+14,-0.41114569
1.5459427e+14,-0.40889898
1.0883153e+14,-0.40665227
7.6788785e+13,-0.40440559
