ElectricField,X
none,none
8.3027503,-1.1503092
8.8554605,-1.0065207
8.8554623,-1.0065205
8.8695295,-0.93462634
8.8695298,-0.93462622
8.3854362,-0.86273205
8.3854346,-0.86273193
8.3854355,-0.86273164
7.5914198,-0.79083759
8.1525348,-0.75489056
8.1525334,-0.75489044
8.235228,-0.71894336
8.2352277,-0.71894324
8.3038039,-0.68299621
8.3038036,-0.68299609
8.4100373,-0.64704907
8.4100376,-0.64704895
8.3601213,-0.62907541
8.3601208,-0.62907535
8.3754331,-0.61110181
8.3754331,-0.61110175
8.401393,-0.59312826
8.4013931,-0.5931282
8.3840079,-0.58414143
8.3840077,-0.58414137
8.3871281,-0.57515466
8.3871281,-0.5751546
8.3926743,-0.56616789
8.3926743,-0.56616783
8.3881465,-0.56167442
8.3894547,-0.557181
8.3883155,-0.55493432
8.3884044,-0.55268764
8.3886885,-0.55044091
5601.5972,-0.55000067
5601.6187,-0.55000067
5601.6157,-0.54819423
5601.603,-0.54594755
5601.5794,-0.54370081
5601.5469,-0.54145414
5601.508,-0.53920746
5601.4717,-0.53696072
5601.4768,-0.53471404
5601.6971,-0.53246737
5603.8296,-0.53022063
5624.597,-0.52572727
5755.3915,-0.52123386
5822.71,-0.51224715
5822.7102,-0.51224709
5849.2446,-0.50775367
5851.7602,-0.50326025
5852.2061,-0.50101358
5852.2018,-0.4987669
5852.09,-0.49652019
5851.9182,-0.49427348
5851.7086,-0.49202681
5851.4725,-0.4897801
5851.2158,-0.48753339
5850.9419,-0.48528671
5850.6526,-0.48304
5850.3492,-0.4807933
5850.0322,-0.47854662
5849.7023,-0.47629991
5849.3596,-0.4740532
5849.0043,-0.47180653
5848.6367,-0.46955982
5848.2567,-0.46731311
5847.8645,-0.46506643
5847.4601,-0.46281973
5847.0434,-0.46057302
5846.6146,-0.45832634
5846.1736,-0.45607963
5845.7205,-0.45383292
5845.2553,-0.45158625
5844.7781,-0.44933954
5844.2888,-0.44709283
5843.7878,-0.44484615
5843.275,-0.44259945
5842.7504,-0.44035274
5842.2141,-0.43810606
5841.6661,-0.43585935
5841.1062,-0.43361264
5840.5345,-0.43136597
5839.951,-0.42911926
5839.3555,-0.42687255
5838.748,-0.42462587
5838.1285,-0.42237917
5837.497,-0.42013246
5836.8534,-0.41788578
5836.1976,-0.41563907
5835.5296,-0.41339236
5834.8495,-0.41114569
5834.157,-0.40889898
5833.4522,-0.40665227
5832.735,-0.40440559
5832.0054,-0.40215889
5831.2633,-0.39991218
5830.5088,-0.3976655
5829.7416,-0.39541879
5828.9619,-0.39317209
5828.1695,-0.39092541
5827.3644,-0.3886787
5826.5466,-0.38643199
5825.7161,-0.38418531
5824.8727,-0.38193861
5824.0164,-0.3796919
5823.1473,-0.37744522
5822.2652,-0.37519851
5821.3701,-0.37295181
5820.462,-0.37070513
5819.5409,-0.36845842
5818.6067,-0.36621171
5817.6594,-0.36396503
5816.699,-0.36171833
5815.7254,-0.35947162
5814.7386,-0.35722494
5813.4231,-0.35497823
5811.5907,-0.35048488
5811.5907,-0.35048485
5809.4948,-0.34599146
5809.4947,-0.34599143
5806.6786,-0.34149808
5806.6786,-0.34149805
5802.6741,-0.33251128
5802.6741,-0.33251125
5796.534,-0.3235245
5796.5339,-0.32352448
5787.6479,-0.30555093
5787.6479,-0.30555087
5773.4121,-0.28757736
5773.4121,-0.2875773
5753.289,-0.25163028
5753.289,-0.25163013
5729.5794,-0.21568312
5729.5793,-0.21568298
5711.313,-0.17973594
5711.313,-0.17973581
5703.7394,-0.14378878
5703.7394,-0.14378865
5729.5551,-0.12581514
5729.5553,-0.12581506
5764.383,-0.10784156
5764.3832,-0.10784149
5804.7119,-0.089867972
5804.7121,-0.089867905
5877.3834,-0.080881156
5877.3837,-0.080881119
5919.6928,-0.071894363
5919.693,-0.071894325
5976.4758,-0.067400947
5976.476,-0.067400932
6018.175,-0.062907547
6018.1752,-0.062907532
6065.3242,-0.058414157
6065.3244,-0.058414139
6103.777,-0.053920764
6103.7772,-0.053920746
6144.4121,-0.051674053
6144.4123,-0.051674046
6160.4988,-0.049999975
6160.4989,-0.049999967
6160.4989,-0.049999967
