ElectrostaticPotential,X
SELECTED,none
0.00032237867,-1.1503092
0.0002985431,-1.0065207
0.00029854302,-1.0065205
0.0002698991,-0.93462634
0.00026989901,-0.93462622
0.00023095711,-0.86273205
0.00023095699,-0.86273193
0.00023095674,-0.86273164
0.00018783959,-0.79083759
0.00016320714,-0.75489056
0.00016320701,-0.75489044
0.00013689469,-0.71894336
0.00013689456,-0.71894324
0.00010922381,-0.68299621
0.00010922367,-0.68299609
8.0493508e-5,-0.64704907
8.0493363e-5,-0.64704895
6.5839504e-5,-0.62907541
6.583943e-5,-0.62907535
5.102887e-5,-0.61110181
5.1028795e-5,-0.61110175
3.6097223e-5,-0.59312826
3.6097149e-5,-0.5931282
2.8599342e-5,-0.58414143
2.8599304e-5,-0.58414137
2.10846e-5,-0.57515466
2.1084562e-5,-0.5751546
1.3557409e-5,-0.56616789
1.3557371e-5,-0.56616783
9.7907939e-6,-0.56167442
6.0227538e-6,-0.557181
4.1383912e-6,-0.55493432
2.2538854e-6,-0.55268764
3.6929648e-7,-0.55044091
2.2727302e-12,-0.55000067
4.2283867e-13,-0.55000067
-0.0010119047,-0.54819423
-0.0022704165,-0.54594755
-0.0035289253,-0.54370081
-0.0047874279,-0.54145414
-0.0060459226,-0.53920746
-0.0073044082,-0.53696072
-0.008562887,-0.53471404
-0.0098213754,-0.53246737
-0.011079954,-0.53022063
-0.013598398,-0.52572727
-0.016134673,-0.52123386
-0.021356701,-0.51224715
-0.021356721,-0.51224709
-0.02398395,-0.50775367
-0.026613333,-0.50326025
-0.027928149,-0.50101358
-0.029242975,-0.4987669
-0.030557784,-0.49652019
-0.03187256,-0.49427348
-0.033187293,-0.49202681
-0.034501975,-0.4897801
-0.035816602,-0.48753339
-0.037131174,-0.48528671
-0.038445678,-0.48304
-0.039760111,-0.4807933
-0.041074479,-0.47854662
-0.042388775,-0.47629991
-0.043702996,-0.4740532
-0.045017138,-0.47180653
-0.046331199,-0.46955982
-0.047645176,-0.46731311
-0.048959067,-0.46506643
-0.050272868,-0.46281973
-0.051586578,-0.46057302
-0.052900192,-0.45832634
-0.054213709,-0.45607963
-0.055527126,-0.45383292
-0.05684044,-0.45158625
-0.058153648,-0.44933954
-0.059466748,-0.44709283
-0.060779736,-0.44484615
-0.062092611,-0.44259945
-0.06340537,-0.44035274
-0.064718009,-0.43810606
-0.066030527,-0.43585935
-0.067342921,-0.43361264
-0.068655187,-0.43136597
-0.069967324,-0.42911926
-0.071279334,-0.42687255
-0.072591198,-0.42462587
-0.07390293,-0.42237917
-0.075214522,-0.42013246
-0.07652597,-0.41788578
-0.077837273,-0.41563907
-0.079148427,-0.41339236
-0.08045943,-0.41114569
-0.081770278,-0.40889898
-0.08308097,-0.40665227
-0.084391502,-0.40440559
-0.085701872,-0.40215889
-0.087012077,-0.39991218
-0.088322113,-0.3976655
-0.089631979,-0.39541879
-0.090941671,-0.39317209
-0.092251186,-0.39092541
-0.093560523,-0.3886787
-0.094869677,-0.38643199
-0.096178646,-0.38418531
-0.097487426,-0.38193861
-0.098796022,-0.3796919
-0.10010442,-0.37744522
-0.10141261,-0.37519851
-0.10272061,-0.37295181
-0.10402841,-0.37070513
-0.10533601,-0.36845842
-0.10664339,-0.36621171
-0.10795056,-0.36396503
-0.10925752,-0.36171833
-0.11056426,-0.35947162
-0.11187078,-0.35722494
-0.11317708,-0.35497823
-0.11578899,-0.35048488
-0.115789,-0.35048485
-0.11839998,-0.34599146
-0.11839999,-0.34599143
-0.12101001,-0.34149808
-0.12101002,-0.34149805
-0.12622715,-0.33251128
-0.12622717,-0.33251125
-0.1314402,-0.3235245
-0.13144022,-0.32352448
-0.14185342,-0.30555093
-0.14185346,-0.30555087
-0.15224807,-0.28757736
-0.15224811,-0.2875773
-0.17297751,-0.25163028
-0.17297759,-0.25163013
-0.19362036,-0.21568312
-0.19362044,-0.21568298
-0.21418158,-0.17973594
-0.21418166,-0.17973581
-0.23469577,-0.14378878
-0.23469585,-0.14378865
-0.24497624,-0.12581514
-0.24497628,-0.12581506
-0.25529879,-0.10784156
-0.25529883,-0.10784149
-0.26570492,-0.089867972
-0.26570496,-0.089867905
-0.27096349,-0.080881156
-0.27096351,-0.080881119
-0.27627015,-0.071894363
-0.27627017,-0.071894325
-0.27894676,-0.067400947
-0.27894677,-0.067400932
