SpaceCharge,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
6.5833343e-5,-0.55000067
3.9643794e+9,-0.54819423
1.43847e+10,-0.54594755
3.6883621e+10,-0.54370081
9.1127672e+10,-0.54145414
2.5089042e+11,-0.53920746
8.2429966e+11,-0.53696072
3.2176443e+12,-0.53471404
1.3802123e+13,-0.53246737
5.7758292e+13,-0.53022063
5.7402692e+14,-0.52572727
1.5994774e+15,-0.52123386
3.5126713e+14,-0.51224715
3.5126234e+14,-0.51224709
7.430275e+13,-0.50775367
1.6419087e+13,-0.50326025
8.4701849e+12,-0.50101358
4.7654566e+12,-0.4987669
2.9197818e+12,-0.49652019
1.9391048e+12,-0.49427348
1.381716e+12,-0.49202681
1.0468659e+12,-0.4897801
8.3415454e+11,-0.48753339
6.9180395e+11,-0.48528671
5.915133e+11,-0.48304
5.1740924e+11,-0.4807933
4.6009698e+11,-0.47854662
4.1396437e+11,-0.47629991
3.7551129e+11,-0.4740532
3.4255831e+11,-0.47180653
3.137067e+11,-0.46955982
2.8805111e+11,-0.46731311
2.650056e+11,-0.46506643
2.4416838e+11,-0.46281973
2.2529471e+11,-0.46057302
2.0821718e+11,-0.45832634
1.9290598e+11,-0.45607963
1.7946512e+11,-0.45383292
1.683925e+11,-0.45158625
1.6090542e+11,-0.44933954
1.5869251e+11,-0.44709283
1.6139212e+11,-0.44484615
1.6695927e+11,-0.44259945
1.7405982e+11,-0.44035274
1.821338e+11,-0.43810606
1.9095305e+11,-0.43585935
2.0042299e+11,-0.43361264
2.1050676e+11,-0.43136597
2.2119571e+11,-0.42911926
2.3249657e+11,-0.42687255
2.4442489e+11,-0.42462587
2.5700269e+11,-0.42237917
2.7025602e+11,-0.42013246
2.8421463e+11,-0.41788578
2.9891102e+11,-0.41563907
3.1438058e+11,-0.41339236
3.3066096e+11,-0.41114569
3.4779252e+11,-0.40889898
3.6581783e+11,-0.40665227
3.8478213e+11,-0.40440559
