eDensity,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
3.3326551e+10,-0.55000067
4.8684299e+10,-0.54819423
7.4913395e+10,-0.54594755
1.1749615e+11,-0.54370081
2.0328586e+11,-0.54145414
4.206943e+11,-0.53920746
1.0851557e+12,-0.53696072
3.4246734e+12,-0.53471404
1.2129657e+13,-0.53246737
4.257848e+13,-0.53022063
3.0805168e+14,-0.52572727
6.4387945e+14,-0.52123386
8.3267594e+13,-0.51224715
8.3265462e+13,-0.51224709
1.3773159e+13,-0.50775367
2.4013935e+12,-0.50326025
1.1033918e+12,-0.50101358
5.5376763e+11,-0.4987669
3.0307075e+11,-0.49652019
1.8000405e+11,-0.49427348
1.1482732e+11,-0.49202681
7.7959616e+10,-0.4897801
5.5710783e+10,-0.48753339
4.1467921e+10,-0.48528671
3.1843325e+10,-0.48304
2.503055e+10,-0.4807933
2.0012354e+10,-0.47854662
1.6196862e+10,-0.47629991
1.3221947e+10,-0.4740532
1.0858703e+10,-0.47180653
8.9554627e+9,-0.46955982
7.4078023e+9,-0.46731311
6.1411816e+9,-0.46506643
5.1000324e+9,-0.46281973
4.2424825e+9,-0.46057302
3.535579e+9,-0.45832634
2.9542379e+9,-0.45607963
2.4791844e+9,-0.45383292
2.0986831e+9,-0.45158625
1.8094658e+9,-0.44933954
1.6104469e+9,-0.44709283
1.4781971e+9,-0.44484615
1.3802758e+9,-0.44259945
1.2989742e+9,-0.44035274
1.2270914e+9,-0.43810606
1.1615339e+9,-0.43585935
1.1007872e+9,-0.43361264
1.0440022e+9,-0.43136597
9.906457e+8,-0.42911926
9.4034867e+8,-0.42687255
8.9283578e+8,-0.42462587
8.4788803e+8,-0.42237917
8.0532362e+8,-0.42013246
7.6498676e+8,-0.41788578
7.267396e+8,-0.41563907
6.9045904e+8,-0.41339236
6.5603255e+8,-0.41114569
6.2335726e+8,-0.40889898
5.9233759e+8,-0.40665227
5.6288486e+8,-0.40440559
