eQuasiFermiPotential,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
-3.6737755e-16,-0.55000067
-3.6737895e-16,-0.55000067
1.8368737e-16,-0.54819423
-1.8368737e-16,-0.54594755
-5.5106422e-16,-0.54370081
5.5106492e-16,-0.54145414
7.347558e-16,-0.53920746
-3.6737825e-16,-0.53696072
-6.4290791e-16,-0.53471404
-4.5922053e-16,-0.53246737
6.4291001e-16,-0.53022063
2.7553351e-16,-0.52572727
-2.7553071e-16,-0.52123386
1.3776378e-16,-0.51224715
1.3776868e-16,-0.51224709
-2.7553106e-16,-0.50775367
-3.673793e-16,-0.50326025
5.5106562e-16,-0.50101358
3.6737825e-16,-0.4987669
3.6737615e-16,-0.49652019
7.3475369e-16,-0.49427348
1.4014341e-21,-0.49202681
5.5106772e-16,-0.4897801
-5.5106492e-16,-0.48753339
-5.5106422e-16,-0.48528671
-3.6737615e-16,-0.48304
-7.3475369e-16,-0.4807933
-3.6737474e-16,-0.47854662
-3.6737474e-16,-0.47629991
-1.8369018e-16,-0.4740532
3.6737545e-16,-0.47180653
1.8368807e-16,-0.46955982
-1.8369088e-16,-0.46731311
-7.347558e-16,-0.46506643
-7.347579e-16,-0.46281973
3.6737685e-16,-0.46057302
5.5106702e-16,-0.45832634
-3.6737755e-16,-0.45607963
-3.6737545e-16,-0.45383292
-2.8028683e-21,-0.45158625
5.5106562e-16,-0.44933954
-7.3475509e-16,-0.44709283
3.6737755e-16,-0.44484615
-5.5106492e-16,-0.44259945
5.5106562e-16,-0.44035274
-1.4014341e-21,-0.43810606
7.0071706e-22,-0.43585935
5.5106842e-16,-0.43361264
7.3475369e-16,-0.43136597
-5.5106632e-16,-0.42911926
3.6737755e-16,-0.42687255
3.6737755e-16,-0.42462587
3.6737615e-16,-0.42237917
1.8368877e-16,-0.42013246
-3.6737685e-16,-0.41788578
5.5106632e-16,-0.41563907
7.3475509e-16,-0.41339236
-3.6737895e-16,-0.41114569
