hDensity,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
3.3326551e+10,-0.55000067
5.2648678e+10,-0.54819423
8.9298095e+10,-0.54594755
1.5437977e+11,-0.54370081
2.9441353e+11,-0.54145414
6.7158471e+11,-0.53920746
1.9094554e+12,-0.53696072
6.6423177e+12,-0.53471404
2.593178e+13,-0.53246737
1.0033677e+14,-0.53022063
8.820786e+14,-0.52572727
2.2433568e+15,-0.52123386
4.3453472e+14,-0.51224715
4.345278e+14,-0.51224709
8.8075909e+13,-0.50775367
1.882048e+13,-0.50326025
9.5735766e+12,-0.50101358
5.3192242e+12,-0.4987669
3.2228526e+12,-0.49652019
2.1191088e+12,-0.49427348
1.4965433e+12,-0.49202681
1.1248255e+12,-0.4897801
8.8986532e+11,-0.48753339
7.3327187e+11,-0.48528671
6.2335663e+11,-0.48304
5.4243979e+11,-0.4807933
4.8010933e+11,-0.47854662
4.3016124e+11,-0.47629991
3.8873323e+11,-0.4740532
3.5341702e+11,-0.47180653
3.2266217e+11,-0.46955982
2.9545892e+11,-0.46731311
2.7114678e+11,-0.46506643
2.4926841e+11,-0.46281973
2.2953719e+11,-0.46057302
2.1175276e+11,-0.45832634
1.9586022e+11,-0.45607963
1.819443e+11,-0.45383292
1.7049118e+11,-0.45158625
1.6271489e+11,-0.44933954
1.6030296e+11,-0.44709283
1.6287032e+11,-0.44484615
1.6833954e+11,-0.44259945
1.7535879e+11,-0.44035274
1.8336089e+11,-0.43810606
1.9211459e+11,-0.43585935
2.0152378e+11,-0.43361264
2.1155076e+11,-0.43136597
2.2218636e+11,-0.42911926
2.3343692e+11,-0.42687255
2.4531772e+11,-0.42462587
2.5785058e+11,-0.42237917
2.7106134e+11,-0.42013246
2.8497962e+11,-0.41788578
2.9963776e+11,-0.41563907
3.1507104e+11,-0.41339236
3.31317e+11,-0.41114569
3.4841588e+11,-0.40889898
3.6641017e+11,-0.40665227
3.8534501e+11,-0.40440559
