hQuasiFermiPotential,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
0,-0.55000067
9.1844387e-16,-0.54819423
1.3776697e-15,-0.54594755
1.9287374e-15,-0.54370081
2.2042726e-15,-0.54145414
2.2961184e-15,-0.53920746
2.2961188e-15,-0.53696072
2.3879632e-15,-0.53471404
2.5716521e-15,-0.53246737
1.9287419e-15,-0.53022063
2.479806e-15,-0.52572727
2.4798081e-15,-0.52123386
2.4798086e-15,-0.51224715
2.4798081e-15,-0.51224709
2.2961193e-15,-0.50775367
2.6175741e-15,-0.50326025
3.2145641e-15,-0.50101358
3.3982549e-15,-0.4987669
4.0411663e-15,-0.49652019
5.4188335e-15,-0.49427348
6.88835e-15,-0.49202681
9.0007772e-15,-0.4897801
1.1572428e-14,-0.48753339
1.432778e-14,-0.48528671
1.8093414e-14,-0.48304
2.2226411e-14,-0.4807933
2.6726802e-14,-0.47854662
3.0492439e-14,-0.47629991
3.5084673e-14,-0.4740532
3.9676911e-14,-0.47180653
4.3534393e-14,-0.46955982
4.7575561e-14,-0.46731311
5.1708574e-14,-0.46506643
5.547421e-14,-0.46281973
5.8229556e-14,-0.46057302
6.1535965e-14,-0.45832634
6.4566843e-14,-0.45607963
6.7781408e-14,-0.45383292
7.0720441e-14,-0.45158625
7.3108406e-14,-0.44933954
7.6047436e-14,-0.44709283
7.8527245e-14,-0.44484615
8.0455987e-14,-0.44259945
8.2476571e-14,-0.44035274
8.4221622e-14,-0.43810606
8.6242205e-14,-0.43585935
8.7344346e-14,-0.43361264
8.8722016e-14,-0.43136597
9.0191532e-14,-0.42911926
9.1385519e-14,-0.42687255
9.3038718e-14,-0.42462587
9.4049012e-14,-0.42237917
9.5426682e-14,-0.42013246
9.6161442e-14,-0.41788578
9.7263578e-14,-0.41563907
9.827387e-14,-0.41339236
9.9376007e-14,-0.41114569
9.95597e-14,-0.40889898
1.0075368e-13,-0.40665227
1.012129e-13,-0.40440559
