time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge
0,1.3182154,1.3182154,0,0,1.7816806e-5,0,1.7816806e-5,3.8506071e-15,0,0,0,0,-1.7809022e-5,0,-1.7809022e-5,1.3732442e-15,1.3182154,1.3182154,0,0,-9.2591765e-13,9.2591765e-13,0,3.6177985e-15
0.005,1.3182154,1.3182154,0,0,1.7821944e-5,0,1.7821944e-5,3.8510192e-15,0,0,0,0,-1.7819015e-5,0,-1.7819015e-5,1.3732374e-15,1.3221243,1.3221243,0,0,1.0276878e-10,-1.0276878e-10,0,3.6182285e-15
0.01,1.3182154,1.3182154,0,0,1.7840946e-5,0,1.7840946e-5,3.8536769e-15,0,0,0,0,-1.7837255e-5,0,-1.7837255e-5,1.3732395e-15,1.3260333,1.3260333,0,0,2.1250426e-10,-2.1250426e-10,0,3.6169329e-15
0.015,1.3182154,1.3182154,0,0,1.7672098e-5,0,1.7672098e-5,3.8324797e-15,0,0,0,0,-1.7669093e-5,0,-1.7669093e-5,1.3731442e-15,1.3299422,1.3299422,0,0,1.6398071e-10,-1.6398071e-10,0,3.6412493e-15
0.02,1.3182154,1.3182154,0,0,1.7678553e-5,0,1.7678553e-5,3.8331972e-15,0,0,0,0,-1.7674598e-5,0,-1.7674598e-5,1.3731383e-15,1.3338511,1.3338511,0,0,2.6657246e-10,-2.6657246e-10,0,3.6406632e-15
0.025,1.3182154,1.3182154,0,0,1.7553266e-5,0,1.7553266e-5,3.8188535e-15,0,0,0,0,-1.7550527e-5,0,-1.7550527e-5,1.3730719e-15,1.33776,1.33776,0,0,1.8925123e-10,-1.8925123e-10,0,3.6699228e-15
0.03,1.3182154,1.3182154,0,0,1.7521542e-5,0,1.7521542e-5,3.8149275e-15,0,0,0,0,-1.751977e-5,0,-1.751977e-5,1.3730492e-15,1.341669,1.341669,0,0,2.4611992e-10,-2.4611992e-10,0,3.6769347e-15
0.035,1.3182154,1.3182154,0,0,1.7474287e-5,0,1.7474287e-5,3.8099721e-15,0,0,0,0,-1.7476915e-5,0,-1.7476915e-5,1.3730227e-15,1.3455779,1.3455779,0,0,2.7706777e-10,-2.7706777e-10,0,3.688137e-15
0.04,1.3182154,1.3182154,0,0,1.7304276e-5,0,1.7304276e-5,3.7900614e-15,0,0,0,0,-1.7298736e-5,0,-1.7298736e-5,1.3729422e-15,1.3494868,1.3494868,0,0,6.4135092e-11,-6.4135092e-11,0,3.7393034e-15
0.045,1.3182154,1.3182154,0,0,1.7304471e-5,0,1.7304471e-5,3.7904659e-15,0,0,0,0,-1.7302111e-5,0,-1.7302111e-5,1.3729347e-15,1.3533957,1.3533957,0,0,1.6963104e-10,-1.6963104e-10,0,3.7390927e-15
0.05,1.3182154,1.3182154,0,0,1.7306733e-5,0,1.7306733e-5,3.7906565e-15,0,0,0,0,-1.7304912e-5,0,-1.7304912e-5,1.3729267e-15,1.3573047,1.3573047,0,0,2.6981209e-10,-2.6981209e-10,0,3.7389455e-15
0.055,1.3182154,1.3182154,0,0,1.7042188e-5,0,1.7042188e-5,3.7535349e-15,0,0,0,0,-1.7040403e-5,0,-1.7040403e-5,1.3728285e-15,1.3612136,1.3612136,0,0,9.6177591e-12,-9.6177591e-12,0,3.7976312e-15
0.06,1.3182154,1.3182154,0,0,1.6987534e-5,0,1.6987534e-5,3.7452531e-15,0,0,0,0,-1.6986424e-5,0,-1.6986424e-5,1.3728042e-15,1.3651225,1.3651225,0,0,3.8532925e-11,-3.8532925e-11,0,3.8098724e-15
0.065,1.3182154,1.3182154,0,0,1.68483e-5,0,1.68483e-5,3.719915e-15,0,0,0,0,-1.6847689e-5,0,-1.6847689e-5,1.3727629e-15,1.3690314,1.3690314,0,0,1.7073525e-11,-1.7073525e-11,0,3.8299483e-15
0.07,1.3182154,1.3182154,0,0,1.6783576e-5,0,1.6783576e-5,3.7080574e-15,0,0,0,0,-1.6782543e-5,0,-1.6782543e-5,1.3727423e-15,1.3729403,1.3729403,0,0,4.7268783e-11,-4.7268783e-11,0,3.8420261e-15
0.075,1.3182154,1.3182154,0,0,1.6733108e-5,0,1.6733108e-5,3.7003934e-15,0,0,0,0,-1.673225e-5,0,-1.673225e-5,1.3727258e-15,1.3768493,1.3768493,0,0,5.9412351e-11,-5.9412351e-11,0,3.8568926e-15
0.08,1.3182154,1.3182154,0,0,1.6672865e-5,0,1.6672865e-5,3.6908418e-15,0,0,0,0,-1.6672178e-5,0,-1.6672178e-5,1.372708e-15,1.3807582,1.3807582,0,0,5.6489521e-11,-5.6489521e-11,0,3.8741415e-15
0.085,1.3182154,1.3182154,0,0,1.6603482e-5,0,1.6603482e-5,3.679843e-15,0,0,0,0,-1.6603781e-5,0,-1.6603781e-5,1.3726902e-15,1.3846671,1.3846671,0,0,3.8187987e-11,-3.8187987e-11,0,3.8938189e-15
0.09,1.3182154,1.3182154,0,0,1.6543919e-5,0,1.6543919e-5,3.6699503e-15,0,0,0,0,-1.6544139e-5,0,-1.6544139e-5,1.3726741e-15,1.388576,1.388576,0,0,3.4029656e-11,-3.4029656e-11,0,3.9113137e-15
0.095,1.3182154,1.3182154,0,0,1.6481246e-5,0,1.6481246e-5,3.6594757e-15,0,0,0,0,-1.6480358e-5,0,-1.6480358e-5,1.3726584e-15,1.392485,1.392485,0,0,2.3836828e-11,-2.3836828e-11,0,3.9297717e-15
0.1,1.3182154,1.3182154,0,0,1.6435883e-5,0,1.6435883e-5,3.6523313e-15,0,0,0,0,-1.6435441e-5,0,-1.6435441e-5,1.3726447e-15,1.3963939,1.3963939,0,0,3.5029834e-11,-3.5029834e-11,0,3.9449266e-15
0.105,1.3182154,1.3182154,0,0,1.6382492e-5,0,1.6382492e-5,3.6440362e-15,0,0,0,0,-1.6383859e-5,0,-1.6383859e-5,1.3726305e-15,1.4003028,1.4003028,0,0,2.8883934e-11,-2.8883934e-11,0,3.9628056e-15
0.11,1.3182154,1.3182154,0,0,1.6328048e-5,0,1.6328048e-5,3.6355247e-15,0,0,0,0,-1.632744e-5,0,-1.632744e-5,1.3726161e-15,1.4042117,1.4042117,0,0,1.1628123e-11,-1.1628123e-11,0,3.9824357e-15
0.115,1.3182154,1.3182154,0,0,1.628889e-5,0,1.628889e-5,3.6293651e-15,0,0,0,0,-1.6288275e-5,0,-1.6288275e-5,1.3726036e-15,1.4081206,1.4081206,0,0,3.0854509e-11,-3.0854509e-11,0,3.9964128e-15
0.12,1.3182154,1.3182154,0,0,1.6238238e-5,0,1.6238238e-5,3.6212209e-15,0,0,0,0,-1.6238073e-5,0,-1.6238073e-5,1.3725902e-15,1.4120296,1.4120296,0,0,2.4128587e-11,-2.4128587e-11,0,4.0144536e-15
0.125,1.3182154,1.3182154,0,0,1.6193193e-5,0,1.6193193e-5,3.6144626e-15,0,0,0,0,-1.6191839e-5,0,-1.6191839e-5,1.3725772e-15,1.4159385,1.4159385,0,0,2.1428913e-11,-2.1428913e-11,0,4.0318898e-15
0.13,1.3182154,1.3182154,0,0,1.6139718e-5,0,1.6139718e-5,3.6058668e-15,0,0,0,0,-1.6139733e-5,0,-1.6139733e-5,1.3725639e-15,1.4198474,1.4198474,0,0,5.5027348e-12,-5.5027348e-12,0,4.0514033e-15
0.135,1.3182154,1.3182154,0,0,1.6093117e-5,0,1.6093117e-5,3.5970847e-15,0,0,0,0,-1.609242e-5,0,-1.609242e-5,1.3725521e-15,1.4237563,1.4237563,0,0,2.1495528e-11,-2.1495528e-11,0,4.0659642e-15
0.14,1.3182154,1.3182154,0,0,1.6036085e-5,0,1.6036085e-5,3.5870054e-15,0,0,0,0,-1.6035238e-5,0,-1.6035238e-5,1.3725396e-15,1.4276653,1.4276653,0,0,8.7363019e-12,-8.7363019e-12,0,4.0850248e-15
0.145,1.3182154,1.3182154,0,0,1.5950936e-5,0,1.5950936e-5,3.5671134e-15,0,0,0,0,-1.5950736e-5,0,-1.5950736e-5,1.3725289e-15,1.4315742,1.4315742,0,0,1.9375366e-15,-1.9375366e-15,0,4.1034466e-15
0.15,1.3182154,1.3182154,0,0,1.5898281e-5,0,1.5898281e-5,3.556749e-15,0,0,0,0,-1.589793e-5,0,-1.589793e-5,1.3725174e-15,1.4354831,1.4354831,0,0,1.377856e-12,-1.377856e-12,0,4.1203352e-15
